Grocery Store Name	Classification	Address 	Zip Code
Whole Foods Market	High	"3535 NE 15th Ave, Portland, OR 97212"	97212
Whole Foods Market	High	"4301 NE Sandy Blvd, Portland, OR 97213"	97213
Whole Foods Market	High	"2825 E Burnside St, Portland, OR 97214"	97214
Whole Foods Market	High	"1210 NW Couch St, Portland, OR 97209"	97209
New Seasons	High	"University Park, 6300 N Lombard St, Portland, OR 97203"	97203
New Seasons	High	"New Seasons Market Arbor Lodge, 6400 N Interstate Ave, Portland, OR 97217"	97217
New Seasons	High	"2170 NW Raleigh St, Portland, OR 97210"	97210
New Seasons	High	"3445 N Williams Ave, Portland, OR 97212"	97212
New Seasons	High	"5320 NE 33rd Ave, Portland, OR 97211"	97211
New Seasons	High	"3210 NE Broadway St, Portland, OR 97232"	97232
New Seasons	High	"4034 SE Hawthorne Blvd, Portland, OR 97214"	97214
New Seasons	High	"1954 SE Division St, Portland, OR 97202"	97202
New Seasons	High	"4500 SE Woodstock Blvd, Portland, OR 97206"	97206
New Seasons	High	"1214 SE Tacoma St, Portland, OR 97202"	97202
Walmart	Low	"1123 N Hayden Meadows Dr, Portland, OR 97217"	97217
Walmart	Low	"4200 SE 82nd Ave, Portland, OR 97266"	97266
Walmart	Low	"23500 NE Sandy Blvd, Wood Village, OR 97060"	97060
Grocery Outlet	Low	"7741 N Lombard St, Portland, OR 97203"	97203
Grocery Outlet	Low	"4420 NE Hancock St, Portland, OR 97213"	97213
Grocery Outlet	Low	"7120 SE Flavel St, Portland, OR 97206"	97206
Grocery Outlet	Low	"12102 SE Division St, Portland, OR 97266"	97266
Grocery Outlet	Low	"10721 NE Sandy Blvd, Portland, OR 97220"	97220
Grocery Outlet	Low	"2925 NW Division St, Gresham, OR 97030"	97030
Green Zebra	Medium	"3011 N Lombard St, Portland, OR 97217"	97217
Green Zebra	Medium	"1704 SW Broadway, Portland, OR 97201"	97201
Green Zebra	Medium	"808 NE Multnomah St, Portland, OR 97232"	97232
Fred Meyer	Medium	"6850 N Lombard St, Portland, OR 97203"	97203
Fred Meyer	Medium	"7404 N Interstate Ave, Portland, OR 97217"	97217
Fred Meyer	Medium	"100 NW 20th Pl, Portland, OR 97209"	97209
Fred Meyer	Medium	"3030 NE Weidler St, Portland, OR 97232"	97232
Fred Meyer	Medium	"7555 SW Barbur Blvd, Portland, OR 97219"	97219
Fred Meyer	Medium	"3805 SE Hawthorne Blvd, Portland, OR 97214"	97214
Fred Meyer	Medium	"6615 NE Glisan St, Portland, OR 97213"	97213
Fred Meyer	Medium	"1111 NE 102nd Ave, Portland, OR 97220"	97220
Fred Meyer	Medium	"14700 SE Division St, Portland, OR 97236"	97236
Fred Meyer	Medium	"22855 NE Park Ln, Wood Village, OR 97060"	97060
Safeway	Medium	"8330 N Ivanhoe St, Portland, OR 97203"	97203
Safeway	Medium	"5920 NE Martin Luther King Jr Blvd, Portland, OR 97211"	97211
Safeway	Medium	"6901 NE Sandy Blvd, Portland, OR 97213"	97213
Safeway	Medium	"1100 NE Broadway St, Portland, OR 97232"	97232
Safeway	Medium	"1303 NW Lovejoy St, Portland, OR 97209"	97209
Safeway	Medium	"1010 SW Jefferson St, Portland, OR 97201"	97201
Safeway	Medium	"2800 SE Hawthorne Blvd, Portland, OR 97214"	97214
Safeway	Medium	"3930 SE Powell Blvd, Portland, OR 97202"	97202
Safeway	Medium	"4515 SE Woodstock Blvd, Portland, OR 97206"	97206
Safeway	Medium	"8145 SW Barbur Blvd, Portland, OR 97219"	97219
Safeway	Medium	"3527 SE 122nd Ave, Portland, OR 97236"	97236
Safeway	Medium	"1001 SW Highland Dr, Gresham, OR 97080"	97080
Safeway	Medium	"1455 NE Division St, Gresham, OR 97030"	97030
Safeway	Medium	"2501 SW Cherry Park Rd, Troutdale, OR 97060"	97060
Target	Medium	"1555 N Tomahawk Island Dr, Portland, OR 97217"	97217
Target	Medium	"939 SW Morrison St, Portland, OR 97205"	97205
Target	Medium	"9401 NE Cascades Pkwy, Portland, OR 97220"	97220
Target	Medium	"3031 SE Powell Blvd, Portland, OR 97202"	97202
Target	Medium	"9800 SE Washington St, Portland, OR 97216"	97216
Target	Medium	"21500 NE Halsey St, Fairview, OR 97024"	97024
